Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Affenpinscher,Toy,,,,11 - 14 yrs.,9½ - 11½ in.,6½ - 13¼ lbs,60,95,20,80,66,100,67,25,80,25,63,40,50,80,90,95,20,20,84,70,,"Everything about the Affenpinscher dog breed. Discover Affenpinscher coloring, sizing, traits, lifespan, and compare Affenpinschers to other dog breeds.","Affenpinschers are charming toy dogs full of feistiness and energy. The affen's unkempt appearance and fearless attitude have given the dog many nicknames. Two of the most popular are ""Monkey Dog"" (which is affenpinscher directly translated from German) and ""Mustached Little Devil"" or ""Diablotin Moustachu"" in French. Originally bred to be a smaller ratting dog (whose job is to rid homes of mice), they became sought after by women as the breed's average size decreased. Eventually the breed's intelligence and charm made t..."
Afghan Hound,Hound,,,,10 - 12 yrs.,24 - 29 in.,45 - 60 lbs,80,90,90,80,31,67,67,50,60,25,13,20,10,80,20,95,35,35,63,70,,"Everything about the Afghan Hound dog breed. Discover Afghan Hound coloring, sizing, traits, lifespan, and compare Afghan Hounds to other dog breeds.","This breed has an aristocratic personality and expects to be catered to whenever they wish. They are agile runners and jumpers, and they do best with spacious houses that have acreage. Those interested in owning an Afghan Hound should be ready very patient and have an excellent understanding of what it means to be a pack leader. Afghan Hounds are large-sized dogs, with a height that ranges between 24 to 29 inches, and a weight that ranges between 45 to 60 pounds. They are tall dogs with a lean weight, and they have a li..."
Airedale Terrier,Terrier,,,,10 - 13 yrs.,22 - 24 in.,50 - 65 lbs,80,80,80,80,66,100,83,88,60,25,75,85,10,95,10,20,40,40,42,100,"Excellent work ethic, Good-natured and playful, Adapts well to warm or cool climates, Good watchdog abilities, Low to moderate barking tendency, Easily trained, Good health, Excels in agility and sporting competitions, Very intelligent, Socializes well with kids and other pets","Everything about the Airedale Terrier dog breed. Discover Airedale Terrier coloring, sizing, traits, lifespan, and compare Airedale Terrier to other dog breeds","They are playful and do best if allowed to participate in all family activities; they should not be left alone or in small, confined areas for long periods of time. They need moderate exercise and are considered high maintenance in regards to grooming. Most owners would agree that members of this breed are highly trainable and pick up on tasks during the first attempts. Generally healthy dogs, the Airedale should live 10-13 years. The Airedale Terrier is a member of the Terrier group of breeds, and was originally develo..."
Akita,Utility,,,,10 - 12 yrs.,24 - 28 in.,70 - 130 lbs,35,90,15,15,48,67,33,50,80,50,25,40,80,95,50,40,15,15,42,60,"Courageous and loyal, Very intelligent, Unparalleled guard dog skills, Affectionate and playful with family members, Good work ethic, Low to moderate barking tendencies, Adapts well to cold climates, Extremely clean and self-maintaining","Everything about the Akita dog breed. Discover Akita coloring, sizing, traits, lifespan, and compare Akitas to other dog breeds.","The akita is known for their stubbornness, so they may not be the best choice for a first time dog owner. They make a good family dog, but can be aggressive towards other dogs (especially if they are the same sex). The Akita is a member of the Working group of breeds, and has been utilized as a guard dog and large-game hunter for centuries. These powerful, protective dogs are quite affectionate with and loyal to their families--and suspicious of (and often dangerously aggressive towards) everybody else. As such, Akitas ..."
Alaskan Malamute,Working,,,,12 - 15 yrs.,23 - 25 in.,80 - 100 lbs,85,85,60,40,92,67,67,75,80,50,75,80,20,95,10,20,20,20,21,70,"Extremely intelligent, High tolerance to cold, Very friendly with people, Excellent for active lifestyles","Everything about the Alaskan Malamute dog breed. Discover Alaskan Malamute coloring, sizing, traits, lifespan, and compare Alaskan Malamutes to other dogs.","Alaskan Malamutes are considered to be independent thinkers, so they can be stubborn when it comes to training. The breed has a high prey drive and a lot of energy, so it is recommended to socialize them at a young age and give them ample exercise to keep their mischievousness under control. For centuries and perhaps even millennia, the Alaskan Malamute was a sled dog who also helped to locate food and be a hunter alongside humans. These days, they remain in that capacity but only in certain regions. In many places, the..."
Anatolian Shepherd Dog,Pastoral,,,,11 - 13 yrs.,26 - 30 in.,110 - 150 lbs,40,60,40,40,31,100,33,50,60,75,63,80,90,60,90,20,60,60,42,80,"Terrific guard dog skills, Intelligent and intuitive, Affectionate and loyal to immediate family, Adapts well to both hot and cold temperatures, Easy to groom, Easily tolerates being alone for extended periods, Responds very well to training, Good work ethic, Only moderate exercise required","Anatolian Shepherd Dog information, facts, and high-quality breed pictures. Learn everything about the Anatolian Shepherd Dog dog breed including temperament, care, and more.","The Anatolian Shepherd Dog is a large-sized dog of the Mastiff type that originated in Turkey. Developed thousands of years ago by nomadic tribesmen to be protectors of livestock and property, Anatolian Shepherds are bold, courageous, and often known for their instinct to protect both people and animals. They require moderate maintenance (little grooming or training and moderate exercise), and are considered quite healthy. Overall, dogs of this breed are excellent livestock or property guardians; while they can also be ..."
Austrialian Cattle Dog,Pastoral,,,,12 - 14 yrs.,17 - 20 in.,30 - 50 lbs,80,95,50,80,31,100,67,75,90,25,100,95,30,95,20,40,60,60,11,100,"Sturdy, Very loyal, Bonds strongly, Highly intelligent, Loves agility tasks, Exceedingly active, Superior herding dog, Great at canine sports, Protective of family members","Everything about the Australian Cattle dog breed. Discover Australian Cattle Dog coloring, sizing, traits, lifespan, and compare Blue Heelers to other dogs","Australian Cattle Dogs are a high energy dog breed as well as very intelligent. This combined with their strong desire to complete tasks can make them a challenge for first time dog owners. The breed excels with families that are very active and display leadership qualities which keeps the breed exercised and under control. On average, the Australian cattle dog stands 18 inches tall (from ground to shoulder) and weighs 40 pounds. As a medium sized dog breed, the Australian Cattle Dog may seem a bit small to be able to c..."
Australian Shepherd,Pastoral,,,,12 - 15 yrs.,18 - 23 in.,50 - 65 lbs,81,95,80,10,66,67,83,75,40,50,63,95,20,95,30,20,40,40,42,100,,"Everything about the Australian Shepherd dog breed. Discover Australian Shepherdcoloring, sizing, traits, lifespan, and compare Aussies to other dog breeds.","Like other highly intelligent working dog breeds, Australian shepherds dislike downtime. They are not the dog to sleep on the floor while you watch TV. Instead the breed's instincts make them anxious without tasks to complete or a job to do. Because of this, Australian shepherds need a family that is very active or one that enjoys teaching their aussie tricks as bored or unchallenged Australian shepherds will often find mischievous ways to entertain themselves. Australian shepherds are a medium to large sized dog breed...."
Australian Silky Terrier,Toy,,,,12 - 15 yrs.,9 - 10 in.,8 - 11 lbs,60,80,60,40,66,67,17,50,80,13,75,80,50,80,70,95,60,60,63,70,"Affectionate, Sheds minimally, Intelligent, Good watchdog abilities, Easily trained, Hypoallergenic, Active and inquisitive, Excellent health, Adapts well to apartment life, Great travel companion, Fairly easily groomed","Silky Terrier information, facts, and high-quality breed pictures. Learn everything about the Silky Terrier dog breed including temperament, care, and more.","The Silky Terrier is a member of the Toy category of dog breeds, and was originally developed in Australia to be a companion pet. These spunky little dogs normally have quite domineering personalities, and are best suited for singles or families of any size--but owners will probably need to provide a good deal of training and socialization to instill proper behavior in their Silky Terriers. Some Silky Terrier facts: they're small-sized (weight averages 10 pounds, and height at the shoulders is about 10 inches), with lon..."
Australian Terrier,Terrier,,,,11 - 14 yrs.,9 - 11 in.,14 - 16 lbs,60,80,60,40,66,100,100,88,100,25,88,60,40,95,90,95,40,40,63,90,"Very sturdy, Hypoallergenic, Great guard dog, Few health issues, Doesn't shed much, Low grooming needs, Perfect for highly active people","Australian Terrier information, facts, and high-quality breed pictures. Learn everything about the Australian Terrier dog breed including temperament, care, and more.","The Australian Terrier is a rough-coated, ever-vigilant and too-cute dog that is also one of the smallest Terrier breeds in the world. Despite their lapdog size, they are scrappy even as they are great little show dogs. They have weather-resistant coats that help protect them in tight spots when they are killing rats or hunting snakes. Bred as much for companionship as for ratting and other pest extermination, these dogs are not quite the best for first-time dog owners. Australian Terrier problems tend to come from negl..."
